ID_KEL;Nama_provinsi;nama_kota;nama_kecamatan;nama_kelurahan;POSITIF;Dirawat;Sembuh;Meninggal;mortality_rate;recovery_rate
3173041008;DKI JAKARTA;JAKARTA BARAT;TAMBORA;JEMBATAN LIMA;1377;1;1348;20;0,014524328;0,978939724
3173081005;DKI JAKARTA;JAKARTA BARAT;KEMBANGAN;JOGLO;3603;4;3531;41;0,011379406;0,980016653
3171081001;DKI JAKARTA;JAKARTA PUSAT;JOHAR BARU;JOHAR BARU;4011;4;3933;64;0,015956121;0,980553478
3173041002;DKI JAKARTA;JAKARTA BARAT;TAMBORA;KALI ANYAR;1194;5;1154;24;0,020100503;0,966499162
3172041004;DKI JAKARTA;JAKARTA UTARA;CILINCING;KALI BARU;1767;1;1713;48;0,027164686;0,969439728
3174081002;DKI JAKARTA;JAKARTA SELATAN;PANCORAN;KALIBATA;4041;1;3955;77;0,019054689;0,978718139
3173061001;DKI JAKARTA;JAKARTA BARAT;KALI DERES;KALIDERES;4784;9;4678;84;0,017558528;0,977842809
3175051004;DKI JAKARTA;JAKARTA TIMUR;PASAR REBO;KALISARI;4448;7;4342;89;0,020008993;0,976169065
3173061004;DKI JAKARTA;JAKARTA BARAT;KALI DERES;KAMAL;1634;4;1587;39;0,023867809;0,97123623
3172011002;DKI JAKARTA;JAKARTA UTARA;PENJARINGAN;KAMAL MUARA;970;2;952;9;0,009278351;0,981443299
3171071007;DKI JAKARTA;JAKARTA PUSAT;TANAH ABANG;KAMPUNG BALI;748;1;725;17;0,022727273;0,969251337
3175031001;DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;1506;1;1478;18;0,011952191;0,981407703
3171081002;DKI JAKARTA;JAKARTA PUSAT;JOHAR BARU;KAMPUNG RAWA;1486;0;1449;30;0,020188425;0,975100942
3175041002;DKI JAKARTA;JAKARTA TIMUR;KRAMAT JATI;KAMPUNG TENGAH;3457;2;3374;74;0,021405843;0,975990743
3173011005;DKI JAKARTA;JAKARTA BARAT;CENGKARENG;KAPUK;6586;14;6388;169;0,025660492;0,969936228
3172011003;DKI JAKARTA;JAKARTA UTARA;PENJARINGAN;KAPUK MUARA;2821;4;2767;28;0,009925558;0,980857852
3171021002;DKI JAKARTA;JAKARTA PUSAT;SAWAH BESAR;KARANG ANYAR;1948;5;1887;37;0,01899384;0,968685832
3174021004;DKI JAKARTA;JAKARTA SELATAN;SETIA BUDI;KARET;1043;0;1022;11;0,0105465;0,979865772
3174021003;DKI JAKARTA;JAKARTA SELATAN;SETIA BUDI;KARET KUNINGAN;3013;6;2951;44;0,014603385;0,979422502
3174021002;DKI JAKARTA;JAKARTA SELATAN;SETIA BUDI;KARET SEMANGGI;416;1;407;6;0,014423077;0,978365385
3171071003;DKI JAKARTA;JAKARTA PUSAT;TANAH ABANG;KARET TENGSIN;1712;2;1670;24;0,014018692;0,97546729
3171021003;DKI JAKARTA;JAKARTA PUSAT;SAWAH BESAR;KARTINI;1933;6;1868;36;0,018623901;0,966373513
3175011003;DKI JAKARTA;JAKARTA TIMUR;MATRAMAN;KAYU MANIS;2391;2;2347;40;0,016729402;0,981597658
3175021006;DKI JAKARTA;JAKARTA TIMUR;PULO GADUNG;KAYU PUTIH;4017;6;3943;62;0,015434404;0,981578292
3173031006;DKI JAKARTA;JAKARTA BARAT;TAMAN SARI;KEAGUNGAN;1259;10;1224;13;0,010325655;0,972200159
3174041007;DKI JAKARTA;JAKARTA SELATAN;PASAR MINGGU;KEBAGUSAN;3583;6;3495;64;0,017862127;0,975439576
3174051006;DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN LAMA;KEBAYORAN LAMA SELATAN;3558;4;3453;72;0,020236088;0,970489039
3174051001;DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN LAMA;KEBAYORAN LAMA UTARA;3027;1;2954;54;0,017839445;0,975883713
3174011004;DKI JAKARTA;JAKARTA SELATAN;TEBET;KEBON BARU;2710;4;2631;57;0,02103321;0,970848708
3172021005;DKI JAKARTA;JAKARTA UTARA;TANJUNG PRIOK;KEBON BAWANG;3981;4;3902;58;0,014569204;0,98015574
3173051001;DKI JAKARTA;JAKARTA BARAT;KEBON JERUK;KEBON JERUK;5157;9;5028;87;0,016870273;0,974985457
3171071006;DKI JAKARTA;JAKARTA PUSAT;TANAH ABANG;KEBON KACANG;1660;3;1607;41;0,024698795;0,968072289
3171011005;DKI JAKARTA;JAKARTA PUSAT;GAMBIR;KEBON KELAPA;994;2;976;12;0,012072435;0,981891348
3171031002;DKI JAKARTA;JAKARTA PUSAT;KEMAYORAN;KEBON KOSONG;3273;5;3205;50;0,015276505;0,979223954
3175011005;DKI JAKARTA;JAKARTA TIMUR;MATRAMAN;KEBON MANGGIS;1670;1;1632;31;0,018562874;0,977245509
3171071005;DKI JAKARTA;JAKARTA PUSAT;TANAH ABANG;KEBON MELATI;1982;1;1927;41;0,020686176;0,972250252
3175081003;DKI JAKARTA;JAKARTA TIMUR;MAKASAR;KEBON PALA;3983;4;3897;74;0,018578961;0,978408235
3171061005;DKI JAKARTA;JAKARTA PUSAT;MENTENG;KEBON SIRIH;1000;1;974;15;0,015;0,974
3173011004;DKI JAKARTA;JAKARTA BARAT;CENGKARENG;KEDAUNG KALI ANGKE;2171;8;2124;37;0,017042837;0,97835099
3173051007;DKI JAKARTA;JAKARTA BARAT;KEBON JERUK;KEDOYA SELATAN;2489;4;2413;52;0,020891924;0,969465649
3173051006;DKI JAKARTA;JAKARTA BARAT;KEBON JERUK;KEDOYA UTARA;3172;11;3081;51;0,016078184;0,971311475
3173051004;DKI JAKARTA;JAKARTA BARAT;KEBON JERUK;KELAPA DUA;2225;2;2170;34;0,015280899;0,975280899
3175091003;DKI JAKARTA;JAKARTA TIMUR;CIRACAS;KELAPA DUA WETAN;4543;1;4465;69;0,015188202;0,982830729
3172061003;DKI JAKARTA;JAKARTA UTARA;KELAPA GADING;KELAPA GADING BARAT;4159;4;4067;61;0,014666987;0,977879298
3172061001;DKI JAKARTA;JAKARTA UTARA;KELAPA GADING;KELAPA GADING TIMUR;4130;1;4042;63;0,015254237;0,978692494
3173071005;DKI JAKARTA;JAKARTA BARAT;PALMERAH;KEMANGGISAN;3069;7;2977;61;0,019876181;0,970022809
3171031001;DKI JAKARTA;JAKARTA PUSAT;KEMAYORAN;KEMAYORAN;2657;7;2596;43;0,016183666;0,977041776
3173081006;DKI JAKARTA;JAKARTA BARAT;KEMBANGAN;KEMBANGAN SELATAN;2333;1;2284;26;0,011144449;0,978997
3173081001;DKI JAKARTA;JAKARTA BARAT;KEMBANGAN;KEMBANGAN UTARA;3649;7;3561;65;0,017813099;0,975883804
3171041002;DKI JAKARTA;JAKARTA PUSAT;SENEN;KENARI;1180;2;1148;20;0,016949153;0,972881356
3173041005;DKI JAKARTA;JAKARTA BARAT;TAMBORA;KERENDANG;1209;2;1172;20;0,016542597;0,969396195
3175071003;DKI JAKARTA;JAKARTA TIMUR;DUREN SAWIT;KLENDER;4608;5;4476;107;0,023220486;0,971354167
3172031001;DKI JAKARTA;JAKARTA UTARA;KOJA;KOJA;2053;4;2007;38;0,018509498;0,977593765
3173071006;DKI JAKARTA;JAKARTA BARAT;PALMERAH;KOTA BAMBU SELATAN;1768;4;1726;35;0,01979638;0,976244344
3173071003;DKI JAKARTA;JAKARTA BARAT;PALMERAH;KOTA BAMBU UTARA;1655;3;1609;34;0,020543807;0,972205438
3171041004;DKI JAKARTA;JAKARTA PUSAT;SENEN;KRAMAT;2021;2;1966;45;0,022266205;0,97278575
3175041001;DKI JAKARTA;JAKARTA TIMUR;KRAMAT JATI;KRAMAT JATI;3421;2;3341;68;0,019877229;0,976615025
3174071003;DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN BARU;KRAMAT PELA;1080;1;1060;10;0,009259259;0,981481481
3173031002;DKI JAKARTA;JAKARTA BARAT;TAMAN SARI;KRUKUT;1416;13;1348;16;0,011299435;0,951977401
3174031005;DKI JAKARTA;JAKARTA SELATAN;MAMPANG PRAPATAN;KUNINGAN BARAT;1003;1;987;9;0,008973081;0,984047856
3174021008;DKI JAKARTA;JAKARTA SELATAN;SETIA BUDI;KUNINGAN TIMUR;1846;3;1830;9;0,004875406;0,991332611
3171041005;DKI JAKARTA;JAKARTA PUSAT;SENEN;KWITANG;1242;1;1204;24;0,019323671;0,969404187
3172031003;DKI JAKARTA;JAKARTA UTARA;KOJA;LAGOA;3695;11;3590;83;0,022462788;0,971583221
3174061002;DKI JAKARTA;JAKARTA SELATAN;CILANDAK;LEBAK BULUS;4007;14;3917;54;0,013476416;0,977539306
