ID_KEL;Nama_provinsi;nama_kota;nama_kecamatan;nama_kelurahan;POSITIF;Dirawat;Sembuh;Meninggal;Self Isolation;Keterangan
3175071001;DKI JAKARTA;JAKARTA TIMUR;DUREN SAWIT;DUREN SAWIT;5493;6;5346;108;33;
3174081004;DKI JAKARTA;JAKARTA SELATAN;PANCORAN;DUREN TIGA;2470;0;2420;37;13;
3173051005;DKI JAKARTA;JAKARTA BARAT;KEBON JERUK;DURI KEPA;4279;21;4142;73;43;
3173011002;DKI JAKARTA;JAKARTA BARAT;CENGKARENG;DURI KOSAMBI;4844;3;4742;79;20;
3171011006;DKI JAKARTA;JAKARTA PUSAT;GAMBIR;DURI PULO;1493;3;1442;29;19;
3173041011;DKI JAKARTA;JAKARTA BARAT;TAMBORA;DURI SELATAN;889;4;850;18;17;
3173041003;DKI JAKARTA;JAKARTA BARAT;TAMBORA;DURI UTARA;1324;7;1267;24;26;
3171081003;DKI JAKARTA;JAKARTA PUSAT;JOHAR BARU;GALUR;1120;1;1094;22;3;
3171011001;DKI JAKARTA;JAKARTA PUSAT;GAMBIR;GAMBIR;1246;2;1227;13;4;
3174061004;DKI JAKARTA;JAKARTA SELATAN;CILANDAK;GANDARIA SELATAN;2066;3;2019;32;12;
3174071009;DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN BARU;GANDARIA UTARA;3462;2;3376;53;31;
3175051001;DKI JAKARTA;JAKARTA TIMUR;PASAR REBO;GEDONG;3318;3;3240;65;10;
3171071001;DKI JAKARTA;JAKARTA PUSAT;TANAH ABANG;GELORA;528;1;517;7;3;
3173031007;DKI JAKARTA;JAKARTA BARAT;TAMAN SARI;GLODOK;818;2;797;18;1;
3171061004;DKI JAKARTA;JAKARTA PUSAT;MENTENG;GONDANGDIA;689;4;663;8;14;
3173021001;DKI JAKARTA;JAKARTA BARAT;GROGOL PETAMBURAN;GROGOL;2328;4;2277;41;6;
3174051005;DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN LAMA;GROGOL SELATAN;3024;4;2954;50;16;
3174051004;DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN LAMA;GROGOL UTARA;3064;3;2984;59;18;
3174021007;DKI JAKARTA;JAKARTA SELATAN;SETIA BUDI;GUNTUR;454;0;447;7;0;
3174071002;DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN BARU;GUNUNG;2372;3;2342;25;2;
3171031005;DKI JAKARTA;JAKARTA PUSAT;KEMAYORAN;GUNUNG SAHARI SELATAN;1995;3;1947;35;10;
3171021004;DKI JAKARTA;JAKARTA PUSAT;SAWAH BESAR;GUNUNG SAHARI UTARA;1769;8;1712;38;11;
3175081004;DKI JAKARTA;JAKARTA TIMUR;MAKASAR;HALIM PERDANA KUSUMAH;4236;20;4146;52;18;
3171031003;DKI JAKARTA;JAKARTA PUSAT;KEMAYORAN;HARAPAN MULIA;1955;2;1908;40;5;
3174091001;DKI JAKARTA;JAKARTA SELATAN;JAGAKARSA;JAGAKARSA;6651;3;6528;100;20;
3175021007;DKI JAKARTA;JAKARTA TIMUR;PULO GADUNG;JATI;2928;6;2842;58;22;
3174041002;DKI JAKARTA;JAKARTA SELATAN;PASAR MINGGU;JATI PADANG;3454;2;3384;59;9;
3173071004;DKI JAKARTA;JAKARTA BARAT;PALMERAH;JATI PULO;1788;2;1727;49;10;
3175061001;DKI JAKARTA;JAKARTA TIMUR;CAKUNG;JATINEGARA;4164;6;4078;73;7;
3175021004;DKI JAKARTA;JAKARTA TIMUR;PULO GADUNG;JATINEGARA KAUM;1691;2;1649;36;4;
3173021004;DKI JAKARTA;JAKARTA BARAT;GROGOL PETAMBURAN;JELAMBAR;3400;11;3317;53;19;
3173021006;DKI JAKARTA;JAKARTA BARAT;GROGOL PETAMBURAN;JELAMBAR BARU;3264;11;3195;40;18;
3173041006;DKI JAKARTA;JAKARTA BARAT;TAMBORA;JEMBATAN BESI;1607;4;1541;27;35;
3173041008;DKI JAKARTA;JAKARTA BARAT;TAMBORA;JEMBATAN LIMA;1377;1;1348;20;8;
3173081005;DKI JAKARTA;JAKARTA BARAT;KEMBANGAN;JOGLO;3603;4;3531;41;27;
3171081001;DKI JAKARTA;JAKARTA PUSAT;JOHAR BARU;JOHAR BARU;4011;4;3933;64;10;
3173041002;DKI JAKARTA;JAKARTA BARAT;TAMBORA;KALI ANYAR;1194;5;1154;24;11;
3172041004;DKI JAKARTA;JAKARTA UTARA;CILINCING;KALI BARU;1767;1;1713;48;5;
3174081002;DKI JAKARTA;JAKARTA SELATAN;PANCORAN;KALIBATA;4041;1;3955;77;8;
3173061001;DKI JAKARTA;JAKARTA BARAT;KALI DERES;KALIDERES;4784;9;4678;84;13;
3175051004;DKI JAKARTA;JAKARTA TIMUR;PASAR REBO;KALISARI;4448;7;4342;89;10;
3173061004;DKI JAKARTA;JAKARTA BARAT;KALI DERES;KAMAL;1634;4;1587;39;4;
3172011002;DKI JAKARTA;JAKARTA UTARA;PENJARINGAN;KAMAL MUARA;970;2;952;9;7;
3171071007;DKI JAKARTA;JAKARTA PUSAT;TANAH ABANG;KAMPUNG BALI;748;1;725;17;5;
3175031001;DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;1506;1;1478;18;9;
3171081002;DKI JAKARTA;JAKARTA PUSAT;JOHAR BARU;KAMPUNG RAWA;1486;0;1449;30;7;
3175041002;DKI JAKARTA;JAKARTA TIMUR;KRAMAT JATI;KAMPUNG TENGAH;3457;2;3374;74;7;
3173011005;DKI JAKARTA;JAKARTA BARAT;CENGKARENG;KAPUK;6586;14;6388;169;15;
